screen_name;location;created_at;created_at_month;followers;age_days;age_months;lon;lat
FormaBiolabs;Cork City, Ireland;2017-06-03;2017-06-01;754;2501;82;-8.4863157;51.8968917
WingsRiders;Canada;2018-07-12;2018-07-01;2515;2905;95;-106.346771;56.130366
teolabs;thessaloniki;2015-04-27;2015-05-01;856;1733;57;22.9444191;40.6400629
dynamolabs;Dallas | San Francisco;2012-10-20;2012-11-01;270;814;27;-122.4194155;37.7749295
mastodonlabs;seattle, wa;2012-06-21;2012-07-01;208;693;23;-122.3320708;47.6062095
LabsKino;Riga;2018-07-12;2018-07-01;487;2905;95;24.1051865;56.9496487
HoneyMilkLabs;Austria;2012-11-01;2012-11-01;236;826;27;14.550072;47.516231
SarahWatersNYC;New York, New York;2018-02-16;2018-03-01;266;2759;91;-74.0059728;40.7127753
ozansener;Munich, Bavaria;2018-07-11;2018-07-01;650;2904;95;11.5819805;48.1351253
seemeranda;Seattle;2017-08-16;2017-09-01;97;2575;85;-122.3320708;47.6062095
daweissman;Cambridge, MA;2018-07-03;2018-07-01;366;2896;95;-71.1097335;42.3736158
imdavidrangel;San Francisco, CA;2018-04-30;2018-05-01;652;2832;93;-122.4194155;37.7749295
abichristinefit;Houston, TX;2016-01-11;2016-01-01;1609;1992;65;-95.3698028;29.7604267
TheSAMLabs;San Antonio, TX;2014-07-20;2014-08-01;449;1452;48;-98.4936282;29.4241219
LuisalyJi;Ontario, Canada;2018-07-13;2018-07-01;264;2906;95;-85.323214;51.253775
terenc3t;San Francisco, CA;2018-07-12;2018-07-01;182;2905;95;-122.4194155;37.7749295
robincarswell;London, UK;2018-07-09;2018-07-01;442;2902;95;-0.1277583;51.5073509
Limuco_LABS;VILLENOY, MEAUX, la savane...;2018-05-23;2018-06-01;3324;2855;94;2.865699;48.944224
sahibindenLabs;Istanbul;2016-02-09;2016-02-01;741;2021;66;28.9783589;41.0082376
IHVNigeria;Nigeria;2018-07-09;2018-07-01;1342;2902;95;8.675277;9.081999
StudioMirabolis;Cascavel, Brasil;2018-07-12;2018-07-01;1934;2905;95;-53.4595112;-24.9577771
proximalabs;Palo Alto, CA;2014-01-24;2014-02-01;330;1275;42;-122.1430195;37.4418834
MasterHackerIDS;Michigan, USA [Icon: no5-5];2018-07-13;2018-07-01;1597;2906;95;-85.6023643;44.3148443
JasonFerris22;The University of Queensland;2018-07-13;2018-07-01;497;2906;95;153.0120301;-27.4954306
JasonvanBrackel;Phoenixville, PA;2018-07-12;2018-07-01;607;2905;95;-75.5149128;40.1303822
agoX;New York, NY;2018-07-12;2018-07-01;345;2905;95;-74.0059728;40.7127753
lfross;Kansas USA;2018-07-06;2018-07-01;348;2899;95;-98.4842465;39.011902
SorobLouie;San Francisco;2018-06-14;2018-06-01;151;2877;94;-122.4194155;37.7749295
singh_deepinder;Bengaluru, India;2018-07-12;2018-07-01;441;2905;95;77.5945627;12.9715987
GygliMichael;Zurich, Switzerland;2018-07-09;2018-07-01;464;2902;95;8.541694;47.3768866
milosm;Celje, Slovenia;2018-07-03;2018-07-01;510;2896;95;15.2677063;46.2397495
WaltersMobile;North America ;2018-07-13;2018-07-01;1044;2906;95;-105.2551187;54.5259614
DLRALLibs;Daresbury & Didcot, UK;2018-07-12;2018-07-01;291;2905;95;-2.6329588;53.3407186
der_graf;Basel Switzerland;2018-07-06;2018-07-01;516;2899;95;7.5885761;47.5595986
budalbers;Wildwood Mo;2018-07-12;2018-07-01;394;2905;95;-90.6629047;38.582831
wellhydrated;Seattle, WA;2018-06-26;2018-07-01;92;2889;95;-122.3320708;47.6062095
pitr_ch;Czech Republic;2018-07-12;2018-07-01;219;2905;95;15.472962;49.817492
JapanCoronaGrp;東京;2018-05-21;2018-06-01;834;2853;94;139.7319925;35.7090259
MaxNY;New York;2014-10-04;2014-10-01;94;1528;50;-74.0059728;40.7127753
yetikserbest;Austin Texas;2018-07-11;2018-07-01;423;2904;95;-97.7430608;30.267153
saracarl;Austin, TX;2018-03-07;2018-03-01;274;2778;91;-97.7430608;30.267153
maryvandewiel;Mexico;2018-02-26;2018-03-01;4424;2769;91;-102.552784;23.634501
HDamp19;Cumming, GA;2017-07-19;2017-08-01;1296;2547;84;-84.1401926;34.2073196
RoberttBertton;London,UK;2018-07-13;2018-07-01;2087;2906;95;-0.1277583;51.5073509
LabradorArt;Finger Lakes region, NY;2018-07-04;2018-07-01;621;2897;95;-76.9297247;42.7238165
NewJerseyII;Newark, New Jersey;2017-11-08;2017-11-01;483;2659;87;-74.1723667;40.735657
duranliu;San Francisco, CA;2018-07-03;2018-07-01;149;2896;95;-122.4194155;37.7749295
emilycallaghan;St. Paul, MN;2018-06-28;2018-07-01;194;2891;95;-93.0899578;44.9537029
maishafilmlab;Kampala, Uganda;2014-01-17;2014-02-01;900;1268;42;32.5825197;0.3475964
danwasco;San Francisco, CA;2018-06-12;2018-06-01;213;2875;94;-122.4194155;37.7749295
Kuurion;Edmonton, AB;2018-07-12;2018-07-01;798;2905;95;-113.4909267;53.544389
Bannisae;Saint Louis, MO USA;2018-07-13;2018-07-01;318;2906;95;-90.1994042;38.6270025
PhillMason;UK;2018-05-29;2018-06-01;2272;2861;94;-3.435973;55.378051
gurmeetweb;Ratlam;2018-07-11;2018-07-01;3792;2904;95;75.0376325;23.3341696
WriteBWT;Rochester, NY;2018-04-01;2018-04-01;586;2803;92;-77.6088465;43.1565779
Hatsize;Calgary, Canada;2018-06-14;2018-06-01;2242;2877;94;-114.0708459;51.0486151
rajeshpillai;Mumbai, India;2018-06-08;2018-06-01;590;2871;94;72.8776559;19.0759837
derekyau;ÜT: 49.285773,-123.115725;2016-12-17;2017-01-01;302;2333;77;-97.7340567;30.2849185
SparkLabsKorea;Seoul, Korea;2018-07-11;2018-07-01;1631;2904;95;126.9779692;37.566535
AuHyland;San Francisco, CA;2018-07-11;2018-07-01;276;2904;95;-122.4194155;37.7749295
PolancoJo;Colorado Springs, CO;2018-07-07;2018-07-01;661;2900;95;-104.8213634;38.8338816
KenevirResearch;Central Point, OR;2017-07-21;2017-08-01;606;2549;84;-122.9164307;42.3759586
ParadoxGamingAu;Australia;2018-07-12;2018-07-01;617;2905;95;133.775136;-25.274398
miloshk;London, England;2018-07-02;2018-07-01;568;2895;95;-0.1277583;51.5073509
darioblanco;Munich;2018-07-03;2018-07-01;399;2896;95;11.5819805;48.1351253
jpetrone99;San Francisco, CA;2018-07-12;2018-07-01;242;2905;95;-122.4194155;37.7749295
eunjikangsin;London, England;2018-06-28;2018-07-01;261;2891;95;-0.1277583;51.5073509
obedkusman;San Francisco Bay Area, CA;2017-07-05;2017-07-01;1374;2533;83;-122.4194155;37.7749295
JoshMacGown;United States;2018-05-02;2018-05-01;514;2834;93;-95.712891;37.09024
myfavworkout;Los Angeles, CA;2017-02-27;2017-03-01;238;2405;79;-118.2436849;34.0522342
Rummble;London;2013-03-04;2013-03-01;840;949;31;-0.1277583;51.5073509
StephanieMLowe;Here, there, everywhere;2018-07-03;2018-07-01;193;2896;95;-74.694929;40.774716
swedegis;Florida;2018-07-13;2018-07-01;699;2906;95;-81.5157535;27.6648274
lshimizu;San Francisco;2015-05-24;2015-06-01;211;1760;58;-122.4194155;37.7749295
danibto;Madrid, Spain;2018-07-12;2018-07-01;576;2905;95;-3.7037902;40.4167754
looic;France;2018-07-12;2018-07-01;489;2905;95;2.213749;46.227638
dreamcrushaa;California;2017-08-10;2017-08-01;1148;2569;84;-119.4179324;36.778261
KatelengLabs;Tanza, Cavite;2018-06-15;2018-07-01;421;2878;95;120.8384093;14.3519672
TeamStrands;Corvallis, Oregon;2011-04-13;2011-04-01;287;258;8;-123.2620435;44.5645659
isundefined;HangZhou;2017-11-19;2017-12-01;208;2670;88;120.15507;30.274084
wenderbarcelos;Goiânia | GO | Brasil;2018-04-24;2018-05-01;338;2826;93;-49.2648114;-16.6868982
brunogomes_fr;Paris, France;2018-07-12;2018-07-01;373;2905;95;2.3522219;48.856614
GlenEBooks;New Jersey, USA;2014-05-26;2014-06-01;1182;1397;46;-74.4056612;40.0583238
BasBaccarne;Ghent;2017-12-06;2017-12-01;619;2687;88;3.7174243;51.0543422
olesays;Oslo, Norge;2017-11-28;2017-12-01;460;2679;88;10.7522454;59.9138688
CarylF;NJ USA;2018-03-16;2018-04-01;372;2787;92;-74.4056612;40.0583238
LotoLabs;Redwood City, CA;2018-05-31;2018-06-01;760;2863;94;-122.2363548;37.4852152
alabs_org;Global;2018-04-20;2018-05-01;1788;2822;93;-94.201021;36.367294
Technikult;EAST COAST;2018-07-11;2018-07-01;907;2904;95;-73.684592;40.724075
CEReport;Michigan, USA;2014-02-23;2014-03-01;204;1305;43;-85.6023643;44.3148443
FranciGuidi;Varese;2018-07-12;2018-07-01;724;2905;95;8.8250576;45.8205989
BeanDelphikiJr;Horicon, Wisconsin;2017-09-11;2017-09-01;289;2601;85;-88.6312139;43.4513836
nickovic98;The Capitol ;2018-07-10;2018-07-01;1086;2903;95;-77.0090505;38.8899389
hal_sk_e;Shinagawa Ward, Tōkyō Metropol;2018-06-12;2018-06-01;121;2875;94;139.7301861;35.6092261
nirb;Israel;2015-10-09;2015-10-01;190;1898;62;34.851612;31.046051
ChristianSitel;New York, NY;2017-09-12;2017-09-01;295;2602;85;-74.0059728;40.7127753
halliemt;Oakland CA;2018-05-30;2018-06-01;1141;2862;94;-122.2711137;37.8043637
EroticaLabs;USA;2015-03-19;2015-04-01;17664;1694;56;-95.712891;37.09024
LabsNeT;京都;2017-06-20;2017-07-01;86;2518;83;135.7680294;35.0116363
astro__labs;Los Angeles, CA;2017-02-21;2017-03-01;4;2399;79;-118.2436849;34.0522342
fanfannyaa;Ярославль;2016-01-27;2016-02-01;0;2008;66;39.8844709;57.6260744
ATVillaLabs;Milwaukee, WI;2018-02-16;2018-03-01;6;2759;91;-87.9064736;43.0389025
LabsPC;Pupiales, Nariño, Colombia;2013-11-16;2013-12-01;4;1206;40;-77.641002;0.871676
iMindru;All world;2012-04-10;2012-04-01;379;621;20;-88.997108;42.460984
LipLabsLtd;Los Angeles;2014-03-25;2014-04-01;38;1335;44;-118.2436849;34.0522342
oletterer;Düsseldorf;2018-07-08;2018-07-01;308;2901;95;6.7734556;51.2277411
pragmaco;Singapore;2018-07-12;2018-07-01;117;2905;95;103.819836;1.352083
sohocoke;Zurich;2018-07-05;2018-07-01;195;2898;95;8.541694;47.3768866
mrdan1991;Woodward, OK;2018-07-12;2018-07-01;663;2905;95;-99.3903862;36.4336481
ImStarLabs;Central City;2016-07-04;2016-07-01;5;2167;71;-105.5141639;39.8019322
ODDesignLabs;Kenora, Ontario;2013-09-30;2013-10-01;9;1159;38;-94.4893924;49.7670416
